resume_idx,resume_file,tfidf_top1_similarity,bert_top1_similarity,sbert_top1_similarity,hybrid_top1_similarity,tfidf_time_sec,bert_time_sec,sbert_time_sec,hybrid_time_sec
0,Candidate_01_Data_Visualization_Expert.pdf,0.626164805,0.806270003,0.755064785,0.664834814,3.07114625,0.043316364,0.054010868,3.076312065
1,Candidate_02_Technology_Integration.pdf,0.59317811,0.884984791,0.715045512,0.629738336,3.151163101,0.04757452,0.061790705,3.280853748
2,Candidate_03_Cloud_Architect.pdf,0.45927124,0.878027081,0.656970739,0.506046278,2.977559328,0.029954672,0.063425541,3.068463564
3,Candidate_04_Data_Quality_Manager.pdf,0.474588615,0.882896662,0.764721394,0.474402085,2.960457802,0.044676781,0.04791975,3.203644991
4,Candidate_05_IT_Systems_Administrator.pdf,0.580233086,0.895195782,0.646475136,0.575763498,3.21158886,0.03803587,0.057147026,3.063738346
5,Candidate_07_Data_Analyst.pdf,0.534878677,0.867740631,0.745089829,0.580233816,3.035249949,0.045668602,0.057109833,3.419483185
6,Candidate_08_Deep_Learning.pdf,0.56320043,0.882147908,0.698137701,0.60368162,3.468227625,0.0535779,0.088867664,3.633877516
7,Candidate_09_Data_Scientist.pdf,0.49302486,0.843438923,0.635088921,0.524482948,3.344835281,0.047283888,0.068460226,3.415697575
8,Candidate_10_Data_Engineer.pdf,0.489265221,0.889758766,0.644061208,0.505094219,3.327557325,0.054672241,0.08502984,3.642808676
9,Candidate_11_Cloud_Services_Developer.pdf,0.473831559,0.882280648,0.532440662,0.480619466,3.382909775,0.053440809,0.086645603,3.394623041
10,Candidate_12_Technical_Operations.pdf,0.624759222,0.841371536,0.670415342,0.633247006,3.311350822,0.06710434,0.088541508,3.510880709
11,Candidate_13_Database_Administrator.pdf,0.639902338,0.878875613,0.626261473,0.632401321,3.555621147,0.057472467,0.079026222,3.425206423
12,Candidate_14_Network_Architect.pdf,0.578948674,0.887431741,0.674879074,0.564942739,3.158868074,0.040744781,0.056401014,3.114293814
13,Candidate_15_Data_Architect.pdf,0.617985297,0.87707597,0.684956789,0.621729729,3.139446735,0.045512676,0.072020531,3.188405752
14,Candidate_16_IT_Consultant.pdf,0.632725125,0.827237844,0.725970387,0.660698713,2.9779737,0.047464609,0.057183027,3.077628136
15,Candidate_17_Machine_Learning.pdf,0.49647846,0.871432066,0.697491646,0.523821369,3.04280901,0.033851385,0.067957401,3.275975466
16,Candidate_18_Full_Stack_Developer.pdf,0.744698691,0.912237346,0.741799474,0.743828941,3.115497828,0.043916464,0.056316376,3.047946215
17,Candidate_19_Business_Analyst.pdf,0.73248938,0.901541889,0.684352577,0.709318431,2.992578983,0.040164471,0.057639837,3.032469034
18,Candidate_20_Information_Security_Analyst.pdf,0.655797965,0.896017373,0.693289518,0.667045437,3.074966669,0.05388093,0.080856562,3.292621851
19,Candidate_21_Business_Intelligence_Analyst.pdf,0.563896878,0.892038107,0.674385905,0.597043592,2.965039492,0.040616512,0.057941437,3.048948288
20,Candidate_22_Artificial_Intelligence.pdf,0.581835988,0.896768034,0.580934405,0.581565522,2.971389532,0.057260752,0.073639154,3.101566553
21,Candidate_23_Data_and_Analytics_Manager.pdf,0.514384605,0.901867449,0.751366258,0.561599635,3.165463686,0.047525644,0.065613508,3.035984755
22,Candidate_24_Statistics.pdf,0.473928859,0.808003068,0.659862101,0.495504724,3.001684666,0.039798021,0.054769754,3.069251776
23,Candidate_25_Data_Warehousing.pdf,0.430429026,0.872913718,0.696729124,0.503344582,2.992703676,0.050259829,0.066782236,3.268524647
24,Candidate_26_Data_Quality_Manager.pdf,0.748945914,0.858958721,0.71864748,0.739856387,2.957108498,0.040427685,0.05723691,3.036737442
25,Candidate_27_Data_Analyst.pdf,0.667707129,0.874748588,0.66463995,0.666786981,2.972593069,0.039938927,0.057422638,3.041982174
26,Candidate_28_Data_Quality_Manager.pdf,0.545517847,0.880320191,0.681191921,0.560104222,3.154173851,0.063611269,0.067510366,3.099372625
27,Candidate_29_Data_Scientist.pdf,0.599894742,0.858737111,0.592964292,0.573052812,2.95902133,0.033541679,0.063704014,3.001017094
28,Candidate_30_Network_Architect.pdf,0.652669448,0.900782704,0.712353468,0.67057466,2.950953007,0.047862291,0.079476595,3.267684937
