Career Track,Job Count
Accounting,9952
Engineering,8178
Information & Communication Technology,7791
Administration & Office Support,6466
Sales,5015
"Manufacturing, Transport & Logistics",4959
Human Resources & Recruitment,3675
Marketing & Communications,2762
Banking & Financial Services,2323
Construction,1500
Call Centre & Customer Service,1479
Retail & Consumer Products,1352
Hospitality & Tourism,905
Healthcare & Medical,825
Design & Architecture,816
Education & Training,731
Real Estate & Property,620
Trades & Services,553
Science & Technology,502
"Advertising, Arts & Media",376
