skill,course_name,organization,difficulty,rating,url,similarity_score,weighted_score
.net,.Net Full Stack Foundation,Board Infinity,Beginner level,4.1,https://www.coursera.org/learn/dot-net-full-stack-foundation,0.7519,0.7723
.net,Introduction to .NET Core,Board Infinity,Beginner level,4.0,https://www.coursera.org/learn/intro-to-dotnet-core,0.6075,0.6653
.net,ASP.NET Core - SOLID and Clean Architecture (.NET 5 and Up),Packt,Intermediate level,Not rated,https://www.coursera.org/learn/packt-asp-net-core-solid-and-clean-architecture-net-5-and-up-iqwi9,0.4833,0.6203
.net,Backend Development for .Net Full Stack,Board Infinity,Intermediate level,3.9,https://www.coursera.org/learn/backend-development-dot-net-fullstack,0.5286,0.604
.net,ASP.NET for Experienced Developers Specialization,Board Infinity,Intermediate level,4.0,https://www.coursera.org/specializations/asp-dot-net-experience,0.5096,0.5967
agile,Managing an Agile Team,University of Virginia,Not specified,4.7,https://www.coursera.org/learn/uva-darden-agile-team-management,0.6603,0.7442
agile,Agile Dev Practices: SDLC & Project Management,Northeastern University,Beginner level,Not rated,https://www.coursera.org/learn/agile-dev-practices-sdlc--project-management,0.5486,0.666
agile,SAFe Fundamentals Specialization,Board Infinity,Beginner level,3.7,https://www.coursera.org/specializations/safe,0.6092,0.6485
agile,Agile Leadership Specialization,University of Colorado System,Beginner level,4.8,https://www.coursera.org/specializations/agile-leadership-change-management,0.5021,0.6395
agile,Introduction to Agile Development and Scrum,IBM,Beginner level,4.9,https://www.coursera.org/learn/agile-development-and-scrum,0.4568,0.6137
angular,Advanced Angular Development,LearnQuest,Beginner level,Not rated,https://www.coursera.org/learn/advanced-angular-development,0.6139,0.7118
angular,Angular 17 Specialization,LearnQuest,Beginner level,4.5,https://www.coursera.org/specializations/angular17,0.5884,0.6819
angular,Theory of Angular Momentum,University of Colorado Boulder,Intermediate level,4.0,https://www.coursera.org/learn/theory-of-angular-momentum,0.5276,0.6093
angular,Advanced Angular Topics,LearnQuest,Beginner level,Not rated,https://www.coursera.org/learn/advanced-angular-topics,0.4605,0.6043
