job_rank,job_title,missing_skill,course_name,organization,difficulty,rating,url,similarity_score,weighted_score
1,"Developer (Vue.JS / PHP, React Native & HTML/CSS & SQL) (ID: 610843)",laravel,"Laravel: Configure, Validate, Authenticate and Authorize",Infosec,Beginner level,5.0,https://www.coursera.org/learn/secure-coding-in-laravel-course-1,0.7084,0.7959
1,"Developer (Vue.JS / PHP, React Native & HTML/CSS & SQL) (ID: 610843)",laravel,Secure Coding in Laravel Specialization,Infosec,Beginner level,5.0,https://www.coursera.org/specializations/secure-coding-in-laravel,0.58,0.706
1,"Developer (Vue.JS / PHP, React Native & HTML/CSS & SQL) (ID: 610843)",laravel,Mastering Laravel Framework and PHP,Board Infinity,Intermediate level,4.2,https://www.coursera.org/learn/laravel-framework-and-php,0.557,0.6419
1,"Developer (Vue.JS / PHP, React Native & HTML/CSS & SQL) (ID: 610843)",php,Building Database Applications in PHP,University of Michigan,Intermediate level,4.9,https://www.coursera.org/learn/database-applications-php,0.6689,0.7622
1,"Developer (Vue.JS / PHP, React Native & HTML/CSS & SQL) (ID: 610843)",php,Building Web Applications in PHP,University of Michigan,Intermediate level,4.7,https://www.coursera.org/learn/web-applications-php,0.3767,0.5457
1,"Developer (Vue.JS / PHP, React Native & HTML/CSS & SQL) (ID: 610843)",react,Advanced React Projects and Ecommerce Development,Packt,Intermediate level,Not rated,https://www.coursera.org/learn/packt-advanced-react-projects-and-ecommerce-development-neuup,0.7277,0.7914
1,"Developer (Vue.JS / PHP, React Native & HTML/CSS & SQL) (ID: 610843)",react,Learn React,Scrimba,Intermediate level,4.7,https://www.coursera.org/learn/learn-react,0.7058,0.7761
1,"Developer (Vue.JS / PHP, React Native & HTML/CSS & SQL) (ID: 610843)",react,React Native,Meta,Intermediate level,4.8,https://www.coursera.org/learn/react-native-course,0.6395,0.7357
2,Analyst Programmer,agile,Managing an Agile Team,University of Virginia,Not specified,4.7,https://www.coursera.org/learn/uva-darden-agile-team-management,0.6603,0.7442
2,Analyst Programmer,agile,Agile Dev Practices: SDLC & Project Management,Northeastern University,Beginner level,Not rated,https://www.coursera.org/learn/agile-dev-practices-sdlc--project-management,0.5486,0.666
2,Analyst Programmer,agile,SAFe Fundamentals Specialization,Board Infinity,Beginner level,3.7,https://www.coursera.org/specializations/safe,0.6092,0.6485
2,Analyst Programmer,aws,AWS Advanced,LearnKartS,Intermediate level,Not rated,https://www.coursera.org/learn/aws-architect-associate-aws-advanced,0.7278,0.7915
2,Analyst Programmer,aws,AWS Fundamentals Specialization,Amazon Web Services,Beginner level,4.6,https://www.coursera.org/specializations/aws-fundamentals,0.6659,0.7421
2,Analyst Programmer,aws,Hands-on with AWS for IT Professionals,Amazon Web Services,Beginner level,4.8,https://www.coursera.org/learn/aws-handson-skills,0.6141,0.7179
2,Analyst Programmer,azure,Building AI Cloud Apps with Microsoft Azure Specialization,Microsoft,Intermediate level,Not rated,https://www.coursera.org/specializations/building-ai-cloud-apps-microsoft-azure,0.6679,0.7496
2,Analyst Programmer,azure,Azure Cloud Services,Microsoft,Beginner level,Not rated,https://www.coursera.org/learn/azure-cloud-services,0.644,0.7328
2,Analyst Programmer,azure,Manage Identities and Governance in Azure,Whizlabs,Intermediate level,4.2,https://www.coursera.org/learn/manage-identities-and-governance-in-azure,0.6842,0.731
2,Analyst Programmer,communication,Program Management and the Art of Communication Specialization,"University of Maryland, College Park",Beginner level,4.8,https://www.coursera.org/specializations/program-management-and-the-art-of-communication,0.4988,0.6372
2,Analyst Programmer,communication,Introduction to Communication Science,University of Amsterdam,Not specified,4.7,https://www.coursera.org/learn/communication,0.4243,0.579
2,Analyst Programmer,communication,Digital Communication and Emotion,Arizona State University,Not specified,Not rated,https://www.coursera.org/learn/digitalcommunicationandemotion,0.4136,0.5715
2,Analyst Programmer,data mining,Data Mining Foundations and Practice Specialization,University of Colorado Boulder,Intermediate level,3.8,https://www.coursera.org/specializations/data-mining-foundations-practice,0.7793,0.7735
2,Analyst Programmer,data mining,Data Mining Project,University of Illinois Urbana-Champaign,Not specified,4.5,https://www.coursera.org/learn/data-mining-project,0.714,0.7698
2,Analyst Programmer,data mining,Data Mining  Specialization,University of Illinois Urbana-Champaign,Intermediate level,4.5,https://www.coursera.org/specializations/data-mining,0.7049,0.7635
2,Analyst Programmer,jquery,"JavaScript, jQuery, and JSON",University of Michigan,Intermediate level,4.6,https://www.coursera.org/learn/javascript-jquery-json,0.3855,0.5458
2,Analyst Programmer,jquery,JavaScript for Beginners Specialization,"University of California, Davis",Beginner level,4.7,https://www.coursera.org/specializations/javascript-beginner,0.2893,0.4845
2,Analyst Programmer,jquery,Web Applications for Everybody Specialization,University of Michigan,Intermediate level,4.8,https://www.coursera.org/specializations/web-applications,0.273,0.4791
2,Analyst Programmer,laravel,"Laravel: Configure, Validate, Authenticate and Authorize",Infosec,Beginner level,5.0,https://www.coursera.org/learn/secure-coding-in-laravel-course-1,0.7084,0.7959
2,Analyst Programmer,laravel,Secure Coding in Laravel Specialization,Infosec,Beginner level,5.0,https://www.coursera.org/specializations/secure-coding-in-laravel,0.58,0.706
2,Analyst Programmer,laravel,Mastering Laravel Framework and PHP,Board Infinity,Intermediate level,4.2,https://www.coursera.org/learn/laravel-framework-and-php,0.557,0.6419
2,Analyst Programmer,leadership,Leadership: An Introduction Specialization,Johns Hopkins University,Beginner level,4.5,https://www.coursera.org/specializations/leadership-introduction,0.6767,0.7437
2,Analyst Programmer,leadership,Nursing Informatics Leadership Theory and Practice,University of Minnesota,Beginner level,4.7,https://www.coursera.org/learn/nursing-informatics-leaders,0.544,0.6628
2,Analyst Programmer,leadership,Leadership Skills,IIMA - IIM Ahmedabad,Beginner level,4.8,https://www.coursera.org/learn/leadershipskills,0.496,0.6352
2,Analyst Programmer,linux,Linux for beginners with Hands-on Labs,KodeKloud,Beginner level,Not rated,https://www.coursera.org/learn/linux-for-beginners-with-hands-on-labs,0.7765,0.8255
2,Analyst Programmer,linux,A Beginners Guide to Linux,Packt,Beginner level,Not rated,https://www.coursera.org/learn/packt-a-beginners-guide-to-linux-z2e2k,0.6629,0.746
2,Analyst Programmer,linux,Linux for Cloud and DevOps Engineers,Packt,Beginner level,Not rated,https://www.coursera.org/learn/packt-linux-for-cloud-and-devops-engineers-7plvl,0.6325,0.7248
2,Analyst Programmer,php,Building Database Applications in PHP,University of Michigan,Intermediate level,4.9,https://www.coursera.org/learn/database-applications-php,0.6689,0.7622
2,Analyst Programmer,php,Building Web Applications in PHP,University of Michigan,Intermediate level,4.7,https://www.coursera.org/learn/web-applications-php,0.3767,0.5457
2,Analyst Programmer,presentation,"Effective Communication: Writing, Design, and Presentation Specialization",University of Colorado Boulder,Beginner level,4.8,https://www.coursera.org/specializations/effective-business-communication,0.451,0.6037
2,Analyst Programmer,presentation,Present with Purpose: Create/Deliver Effective Presentations,IBM,Beginner level,4.6,https://www.coursera.org/learn/present-with-purpose,0.4291,0.5763
2,Analyst Programmer,presentation,Successful Presentation,University of Colorado Boulder,Beginner level,4.8,https://www.coursera.org/learn/presentation-skills,0.3254,0.5158
3,Junior PHP Developer,bootstrap,Learn Bootstrap,Scrimba,Intermediate level,Not rated,https://www.coursera.org/learn/learn-bootstrap,0.5635,0.6764
3,Junior PHP Developer,bootstrap,Developing Websites and Front-Ends with Bootstrap,IBM,Intermediate level,4.5,https://www.coursera.org/learn/developing-websites-and-front-ends-with-bootstrap,0.492,0.6144
3,Junior PHP Developer,bootstrap,Coding the Static Restaurant Site,Johns Hopkins University,Not specified,4.6,https://www.coursera.org/learn/coding-the-static-restaurant-site-jhu,0.2326,0.4389
3,Junior PHP Developer,communication,Program Management and the Art of Communication Specialization,"University of Maryland, College Park",Beginner level,4.8,https://www.coursera.org/specializations/program-management-and-the-art-of-communication,0.4988,0.6372
3,Junior PHP Developer,communication,Introduction to Communication Science,University of Amsterdam,Not specified,4.7,https://www.coursera.org/learn/communication,0.4243,0.579
3,Junior PHP Developer,communication,Digital Communication and Emotion,Arizona State University,Not specified,Not rated,https://www.coursera.org/learn/digitalcommunicationandemotion,0.4136,0.5715
3,Junior PHP Developer,php,Building Database Applications in PHP,University of Michigan,Intermediate level,4.9,https://www.coursera.org/learn/database-applications-php,0.6689,0.7622
3,Junior PHP Developer,php,Mastering Laravel Framework and PHP,Board Infinity,Intermediate level,4.2,https://www.coursera.org/learn/laravel-framework-and-php,0.5111,0.6098
3,Junior PHP Developer,php,Building Web Applications in PHP,University of Michigan,Intermediate level,4.7,https://www.coursera.org/learn/web-applications-php,0.3767,0.5457
4,Junior PHP Web Developer,bootstrap,Learn Bootstrap,Scrimba,Intermediate level,Not rated,https://www.coursera.org/learn/learn-bootstrap,0.5635,0.6764
4,Junior PHP Web Developer,bootstrap,Developing Websites and Front-Ends with Bootstrap,IBM,Intermediate level,4.5,https://www.coursera.org/learn/developing-websites-and-front-ends-with-bootstrap,0.492,0.6144
4,Junior PHP Web Developer,bootstrap,Coding the Static Restaurant Site,Johns Hopkins University,Not specified,4.6,https://www.coursera.org/learn/coding-the-static-restaurant-site-jhu,0.2326,0.4389
4,Junior PHP Web Developer,communication,Program Management and the Art of Communication Specialization,"University of Maryland, College Park",Beginner level,4.8,https://www.coursera.org/specializations/program-management-and-the-art-of-communication,0.4988,0.6372
4,Junior PHP Web Developer,communication,Introduction to Communication Science,University of Amsterdam,Not specified,4.7,https://www.coursera.org/learn/communication,0.4243,0.579
4,Junior PHP Web Developer,communication,Digital Communication and Emotion,Arizona State University,Not specified,Not rated,https://www.coursera.org/learn/digitalcommunicationandemotion,0.4136,0.5715
4,Junior PHP Web Developer,php,Building Database Applications in PHP,University of Michigan,Intermediate level,4.9,https://www.coursera.org/learn/database-applications-php,0.6689,0.7622
4,Junior PHP Web Developer,php,Mastering Laravel Framework and PHP,Board Infinity,Intermediate level,4.2,https://www.coursera.org/learn/laravel-framework-and-php,0.5111,0.6098
4,Junior PHP Web Developer,php,Building Web Applications in PHP,University of Michigan,Intermediate level,4.7,https://www.coursera.org/learn/web-applications-php,0.3767,0.5457
5,Java Programmer (Executive),angular,Advanced Angular Development,LearnQuest,Beginner level,Not rated,https://www.coursera.org/learn/advanced-angular-development,0.6139,0.7118
5,Java Programmer (Executive),angular,Angular 17 Specialization,LearnQuest,Beginner level,4.5,https://www.coursera.org/specializations/angular17,0.5884,0.6819
5,Java Programmer (Executive),angular,Theory of Angular Momentum,University of Colorado Boulder,Intermediate level,4.0,https://www.coursera.org/learn/theory-of-angular-momentum,0.5276,0.6093
6,"System Developer (React Native, PHP, MySQL/MS SQL & equivalent) (ID: 599747)",laravel,"Laravel: Configure, Validate, Authenticate and Authorize",Infosec,Beginner level,5.0,https://www.coursera.org/learn/secure-coding-in-laravel-course-1,0.7084,0.7959
6,"System Developer (React Native, PHP, MySQL/MS SQL & equivalent) (ID: 599747)",laravel,Secure Coding in Laravel Specialization,Infosec,Beginner level,5.0,https://www.coursera.org/specializations/secure-coding-in-laravel,0.58,0.706
6,"System Developer (React Native, PHP, MySQL/MS SQL & equivalent) (ID: 599747)",laravel,Mastering Laravel Framework and PHP,Board Infinity,Intermediate level,4.2,https://www.coursera.org/learn/laravel-framework-and-php,0.557,0.6419
6,"System Developer (React Native, PHP, MySQL/MS SQL & equivalent) (ID: 599747)",php,Building Database Applications in PHP,University of Michigan,Intermediate level,4.9,https://www.coursera.org/learn/database-applications-php,0.6689,0.7622
6,"System Developer (React Native, PHP, MySQL/MS SQL & equivalent) (ID: 599747)",php,Building Web Applications in PHP,University of Michigan,Intermediate level,4.7,https://www.coursera.org/learn/web-applications-php,0.3767,0.5457
