rank,job_title,category,company,hybrid_score,tfidf_score,sbert_score,match_pct,gap_score,matched_skills,missing_skills,required_skills
1,"Developer (Vue.JS / PHP, React Native & HTML/CSS & SQL) (ID: 610843)",Information & Communication Technology,Agensi Pekerjaan PERSOLKELLY Malaysia Sdn Bhd,0.2679,0.1673,0.5028,63.64,0.364,"['css', 'html', 'javascript', 'ms sql', 'mysql', 'python', 'sql']","['laravel', 'php', 'react', 'vue']","['css', 'html', 'javascript', 'laravel', 'ms sql', 'mysql', 'php', 'python', 'react', 'sql', 'vue']"
2,Analyst Programmer,Information & Communication Technology,Zanko Sdn Bhd,0.2527,0.1896,0.4,35.29,0.647,"['c', 'css', 'html', 'java', 'javascript', 'python']","['agile', 'aws', 'azure', 'communication', 'data mining', 'jquery', 'laravel', 'leadership', 'linux', 'php', 'presentation']","['agile', 'aws', 'azure', 'c', 'communication', 'css', 'data mining', 'html', 'java', 'javascript', 'jquery', 'laravel', 'leadership', 'linux', 'php', 'presentation', 'python']"
3,Junior PHP Developer,Information & Communication Technology,Zen Digital Marketing,0.2521,0.1955,0.3842,57.14,0.429,"['css', 'html', 'javascript', 'mysql']","['bootstrap', 'communication', 'php']","['bootstrap', 'communication', 'css', 'html', 'javascript', 'mysql', 'php']"
4,Junior PHP Web Developer,Information & Communication Technology,Zen Digital Marketing,0.2491,0.1912,0.3842,57.14,0.429,"['css', 'html', 'javascript', 'mysql']","['bootstrap', 'communication', 'php']","['bootstrap', 'communication', 'css', 'html', 'javascript', 'mysql', 'php']"
5,Java Programmer (Executive),Information & Communication Technology,LONPAC INSURANCE BHD 199401021735 (307414-T),0.2469,0.1627,0.4433,85.71,0.143,"['css', 'html', 'java', 'javascript', 'ms sql', 'sql']",['angular'],"['angular', 'css', 'html', 'java', 'javascript', 'ms sql', 'sql']"
6,"System Developer (React Native, PHP, MySQL/MS SQL & equivalent) (ID: 599747)",Information & Communication Technology,Agensi Pekerjaan PERSOLKELLY Malaysia Sdn Bhd,0.2385,0.1291,0.4939,55.56,0.444,"['css', 'html', 'javascript', 'mysql', 'python']","['laravel', 'php', 'react', 'vue']","['css', 'html', 'javascript', 'laravel', 'mysql', 'php', 'python', 'react', 'vue']"
7,FULLSTACK DEVELOPER,Information & Communication Technology,JP Associates,0.2381,0.1342,0.4803,26.32,0.737,"['c', 'css', 'html', 'javascript', 'mysql']","['.net', 'angular', 'aws', 'docker', 'express', 'git', 'jquery', 'kafka', 'kubernetes', 'mongodb', 'php', 'react', 'redis', 'seo']","['.net', 'angular', 'aws', 'c', 'css', 'docker', 'express', 'git', 'html', 'javascript', 'jquery', 'kafka', 'kubernetes', 'mongodb', 'mysql', 'php', 'react', 'redis', 'seo']"
8,Java Developer,Information & Communication Technology,KRAFT SOFTWARE SOLUTIONS SDN. BHD.,0.2325,0.1549,0.4136,63.64,0.364,"['c', 'css', 'html', 'java', 'javascript', 'mysql', 'sql']","['azure', 'jquery', 'oracle', 'sap']","['azure', 'c', 'css', 'html', 'java', 'javascript', 'jquery', 'mysql', 'oracle', 'sap', 'sql']"
9,Software Engineer - Java Web,Information & Communication Technology,Soft Space Sdn Bhd,0.2316,0.1358,0.455,55.56,0.444,"['css', 'html', 'java', 'javascript', 'mysql']","['communication', 'jquery', 'oracle', 'spring']","['communication', 'css', 'html', 'java', 'javascript', 'jquery', 'mysql', 'oracle', 'spring']"
10,FULL STACK DEVELOPER,Information & Communication Technology,Entrypass Corporation Sdn Bhd,0.2288,0.1017,0.5255,50.0,0.5,"['c', 'css', 'html', 'javascript', 'mysql', 'python', 'sql']","['agile', 'angular', 'fastapi', 'git', 'react', 'teamwork', 'vue']","['agile', 'angular', 'c', 'css', 'fastapi', 'git', 'html', 'javascript', 'mysql', 'python', 'react', 'sql', 'teamwork', 'vue']"
